Geneid,GS1,GS2,GS3,IT21,IT22,IT23,IT51,IT52,IT53,HS1,HS2,HS3
PCA_NC_00379,35,8,9,6,10,12,100,105,96,62,265,222
PCA_NC_00378,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00371,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00370,425,383,342,45,48,62,311,331,420,768,874,921
PCA_NC_00375,885,804,540,3,6,10,630,709,670,1282,1372,1628
PCA_NC_00374,4,6,4,30,22,36,922,1070,1081,1314,1297,1559
PCA_NC_00377,5,0,4,54,25,47,1321,1426,1290,1612,3033,3352
PCA_NC_00376,10,3,10,2,0,2,37,42,40,312,409,463
PCA_NC_00238,16,20,13,0,0,0,8,14,4,2,6,0
PCA_NC_00239,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00234,832,786,699,244,166,314,3855,3576,3552,3529,5691,5844
PCA_NC_00235,555,538,507,116,90,116,821,735,834,193,339,349
PCA_NC_00236,1653,1499,1417,298,275,324,2352,2195,2295,921,870,879
PCA_NC_00237,1902,1851,1909,103,110,160,1108,1134,1006,987,1609,1818
PCA_NC_00230,660,708,614,243,149,200,2157,2205,2171,6117,9202,9791
PCA_NC_00231,799,722,774,238,162,228,1395,1367,1343,2443,2916,3252
PCA_NC_00232,0,2,2,460,365,607,4318,4294,3984,597159,613356,669005
PCA_NC_00233,1190,1093,1083,124,110,156,1347,1336,1356,2739,3549,4316
PCA_NC_00288,1143,1091,1086,64,63,90,1013,1092,997,1410,1822,1690
PCA_NC_00281,5602,5610,4715,135,148,156,1599,1616,1591,913,1602,1964
PCA_NC_00340,453,409,299,4885,4708,6770,29091,27290,26162,69293,39097,46610
PCA_NC_00341,742,667,426,6602,5568,7706,32079,30556,29368,93985,59024,68233
PCA_NC_00342,0,0,0,0,0,0,0,2,0,0,0,0
PCA_NC_00343,5222,4288,4065,129,119,176,1971,1580,1623,1016,2247,2970
PCA_NC_00344,1011,904,803,69,72,109,1738,1571,1443,2750,2485,2925
PCA_NC_00345,4,2,1,286,354,482,380,411,472,150388,73718,85003
PCA_NC_00346,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00347,0,0,0,0,0,0,0,0,0,20,0,14
PCA_NC_00348,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00349,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00258,78820,83905,73507,10,8,31,286,260,354,319,408,470
PCA_NC_00259,0,0,0,4,4,12,10,12,16,148,156,156
PCA_NC_00256,1139,1145,1175,88,80,60,565,652,612,720,855,776
PCA_NC_00257,79,73,80,0,1,0,15,5,7,83,72,61
PCA_NC_00261,1998,1852,1736,236,182,304,2353,2446,2380,4783,4935,5699
PCA_NC_00260,93,88,78,68,38,68,499,514,494,818,906,961
PCA_NC_00267,332,412,311,0,0,0,2,2,4,2,0,0
PCA_NC_00266,3936,3260,4105,2,4,0,2,2,8,42,2,0
PCA_NC_00265,1684,1624,1576,73,82,99,836,834,826,910,1518,1882
PCA_NC_00264,3314,2890,2878,136,94,158,1384,1401,1251,626,1326,1395
PCA_NC_00403,1394,1274,1296,32,26,22,168,186,184,2576,2102,2622
PCA_NC_00402,0,0,0,0,0,0,0,0,0,6,2,2
PCA_NC_00401,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00400,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00407,1282,1292,1127,192,155,207,1889,1905,1705,1599,1928,2139
PCA_NC_00406,65,80,44,113,129,154,1043,926,997,47,200,225
PCA_NC_00405,628,540,524,174,162,229,1314,1341,1278,2561,3581,3885
PCA_NC_00404,1801,1792,1661,391,345,496,1865,1835,1860,1245,1304,1533
PCA_NC_00409,4,6,4,222,189,220,1263,1304,1250,5808,11638,13991
PCA_NC_00408,1347,1160,1431,70,34,68,493,471,498,384,406,382
PCA_NC_00436,1473,1290,1122,176,148,249,2973,3085,2954,6123,7642,8552
PCA_NC_00435,559,611,574,8,6,6,167,254,244,182,599,543
PCA_NC_00430,6583,6279,5527,656,629,903,10510,10227,9654,14738,21038,22484
PCA_NC_00437,818,713,763,50,56,79,599,447,489,432,563,731
PCA_NC_00434,26,48,18,0,0,0,2,0,2,2,10,29
PCA_NC_00432,172,125,103,26,30,34,552,529,494,457,332,418
PCA_NC_00433,614,522,551,18,12,26,623,628,727,1383,2589,2847
