Geneid,GS1,GS2,GS3,IT21,IT22,IT23,IT51,IT52,IT53,HS1,HS2,HS3
PCA_SD_08060,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_08063,2720,3136,3936,156,244,176,6379,7181,6597,2709,8688,1538
PCA_SD_08062,1,0,0,0,0,0,0,0,0,6,0,0
PCA_SD_08069,880,842,1289,20,37,42,1082,1545,1109,1578,974,1423
PCA_SD_08068,40,54,53,28,82,59,720,1087,736,9616,14064,10114
PCA_SD_08058,23,8,18,4,2,4,158,196,127,21,2,11
PCA_SD_08059,0,0,0,0,0,0,0,4,2,0,0,0
PCA_SD_08054,846,974,1044,48,96,80,1544,1886,1545,262,416,225
PCA_SD_08055,10,11,12,0,0,0,2,3,1,0,6,2
PCA_SD_08056,891,912,1238,82,218,158,3693,4304,3219,5424,2089,3917
PCA_SD_08057,334,400,410,30,18,42,802,783,821,211,252,246
PCA_SD_08050,0,0,0,0,0,0,12,6,14,0,0,0
PCA_SD_08051,0,0,0,0,0,0,32,35,24,0,2,0
PCA_SD_08052,0,0,0,0,2,0,12,16,13,0,4,0
PCA_SD_08053,68,85,102,0,2,0,18,42,24,20,2,6
PCA_SD_08089,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_08088,0,0,0,0,0,0,2,0,6,2,34,0
PCA_SD_08083,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_08082,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_08081,0,2,8,0,0,0,0,2,0,0,2,0
PCA_SD_08080,0,0,0,0,0,0,0,0,0,0,2,0
PCA_SD_08087,0,0,0,0,0,0,0,0,0,0,1,0
PCA_SD_08086,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_08085,8,6,8,2,14,10,502,731,430,1148,300,918
PCA_SD_08084,557,667,634,266,534,406,6012,7756,5471,1475,1378,1427
PCA_SD_08078,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_08079,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_08072,5198,5846,7575,0,0,0,412,458,547,16,8,2
PCA_SD_08073,0,2,2,0,0,0,4,14,9,2,0,0
PCA_SD_08070,7444,9064,10057,79,218,149,3103,3970,3225,2557,3579,1976
PCA_SD_08071,1205,1239,1447,94,208,204,3358,3875,3334,5336,4255,4088
PCA_SD_08076,18,26,12,4,22,18,352,579,348,216,90,265
PCA_SD_08077,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_08074,7611,8345,11376,0,0,0,876,1096,790,114,128,130
PCA_SD_08075,10,6,4,0,0,0,0,0,2,0,0,0
PCA_SD_08090,0,0,0,0,0,0,2,6,0,38,7,44
PCA_SD_08091,19,6,15,14,34,6,149,176,135,439,1391,271
PCA_SD_08092,838,939,1130,40,90,64,1509,2034,1490,1575,908,1479
PCA_SD_08093,1504,1668,2180,71,146,107,3486,4334,2981,17024,6447,15807
PCA_SD_08094,0,0,0,0,0,2,32,22,20,319,111,397
PCA_SD_08095,1022,1278,1373,47,78,73,3350,3641,3772,1061,1727,595
PCA_SD_08096,0,0,4,3,8,9,14,11,16,867,506,933
PCA_SD_08097,1517,1779,1951,62,103,87,1666,1897,1695,388,2729,280
PCA_SD_08049,0,0,0,0,2,0,4,10,0,289,54,154
PCA_SD_08048,1816,1911,2179,1672,3280,2691,32185,35890,29947,38005,17477,33532
PCA_SD_08047,0,6,6,0,0,0,12,24,18,12,6,0
PCA_SD_08046,0,0,2,0,0,0,0,0,0,0,13,0
PCA_SD_08045,587,581,797,32,123,84,2718,3463,2607,400,598,499
PCA_SD_08044,291,410,542,10,26,30,809,1080,683,2613,1441,1348
PCA_SD_08043,651,798,889,34,77,68,1035,902,993,55,24,27
PCA_SD_08042,450,558,658,34,36,54,848,1160,924,507,949,522
PCA_SD_08041,0,0,0,0,0,0,0,0,0,0,0,13
PCA_SD_08040,0,0,2,39,103,62,452,644,397,5549,7689,5254
PCA_SD_08039,0,0,0,0,0,0,0,2,2,49,29,48
PCA_SD_06036,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_06037,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_06038,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_06039,0,0,0,2,0,0,0,0,0,0,0,0
PCA_SD_06069,446,431,681,16,24,18,1041,1147,1079,1221,991,1304
PCA_SD_06068,1624,1955,2230,160,344,233,5173,6056,4989,4409,7053,3152
PCA_SD_06063,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_06062,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_06061,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_06060,0,0,0,0,0,0,0,0,1,0,0,0
PCA_SD_06067,0,0,0,0,0,0,24,22,23,0,33,4
PCA_SD_06066,0,0,0,0,0,0,46,50,38,0,0,0
PCA_SD_06065,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_06064,487,522,632,36,64,52,1072,1161,1006,508,482,415
PCA_SD_06098,0,0,0,1,30,12,94,82,71,1465,1137,2048
PCA_SD_06092,8221,8932,10504,38,57,59,800,970,730,736,157,705
PCA_SD_06093,3087,3409,4023,22,59,29,544,708,557,168,114,29
PCA_SD_06090,5625,6593,7196,1028,2257,1683,35460,41248,33789,19557,19603,13392
PCA_SD_06091,291,374,446,59,77,72,1430,1950,1336,368,751,89
PCA_SD_06096,856,1008,1057,70,114,110,1744,1708,1679,4403,5357,4144
PCA_SD_06097,6,4,4,4,8,6,40,75,48,16,39,1
PCA_SD_06094,0,0,4,26,86,26,1382,1770,1298,4087,11187,3325
PCA_SD_06095,2,0,0,0,0,0,11,16,10,190,43,208
PCA_SD_06041,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_06040,3532,4119,4840,49,104,82,3979,4255,4423,1190,1453,1046
PCA_SD_06043,392,501,561,20,54,42,675,942,660,206,64,162
PCA_SD_06042,8,2,6,0,0,0,0,0,0,0,2,0
PCA_SD_06045,39,33,42,6,4,0,111,145,118,32,38,14
PCA_SD_06044,1300,1314,1659,218,380,392,5628,6435,5685,7291,5543,5925
PCA_SD_06047,0,0,0,0,1,0,0,0,2,4,0,0
PCA_SD_06046,3856,4200,5686,58,90,77,1724,2180,1574,145,453,106
PCA_SD_06049,830,1057,974,4,6,0,41,40,26,0,2,0
PCA_SD_06048,42,35,83,43,42,20,557,635,454,292,115,177
PCA_SD_06078,2185,2241,2748,84,148,92,2810,3176,2780,627,5235,496
PCA_SD_06079,0,0,0,0,0,4,2,2,0,56,4,8
PCA_SD_06070,0,0,0,0,0,0,0,0,0,0,4,0
PCA_SD_06071,1073,1251,1386,14,32,35,545,643,610,60,63,64
PCA_SD_06072,22994,24492,34425,2,14,5,71,83,44,156,272,280
PCA_SD_06073,2077,2311,3060,84,194,137,4620,5706,4608,3085,3790,2839
PCA_SD_06074,1811,1948,2510,52,117,100,3122,3475,3280,891,2691,616
PCA_SD_06075,10829,13022,11985,189,390,409,20797,21499,22245,17401,24319,11939
PCA_SD_06076,0,0,0,6,26,30,3998,5751,4175,45056,93335,31174
PCA_SD_06077,1956,2134,2885,30,96,78,1839,2367,2055,1232,1073,1071
PCA_SD_06056,0,0,0,0,0,0,7,0,0,0,0,0
PCA_SD_06057,1088,1244,1711,246,454,336,7065,9636,6357,5943,3845,5039
PCA_SD_06054,1610,1588,2191,66,104,106,2034,2518,2098,1996,1344,1801
PCA_SD_06055,807,815,1289,29,69,45,1082,1479,1186,819,561,823
PCA_SD_06052,572,525,730,22,34,22,712,666,619,631,264,495
PCA_SD_06053,1061,1151,1358,117,209,162,2725,4173,2488,4784,1315,3624
PCA_SD_06050,479,508,568,50,146,110,1872,2468,1598,667,472,641
PCA_SD_06051,1439,1471,2299,94,180,188,2825,4246,2678,3351,958,3008
PCA_SD_06058,0,0,0,23,46,38,274,420,257,2958,3590,3029
PCA_SD_06059,198,184,252,26,60,52,766,975,729,633,138,376
PCA_SD_06085,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_06084,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_06087,126,146,192,21,36,33,322,500,310,104,236,132
PCA_SD_06086,0,0,0,0,0,0,0,0,0,0,2,0
PCA_SD_06081,30,50,17,0,2,0,1996,2159,1893,172,46,97
PCA_SD_06080,0,2,0,0,0,0,298,322,329,4,14,0
PCA_SD_06083,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_06082,2,2,0,0,0,0,25,37,34,30,3,27
PCA_SD_06089,136,155,187,21,49,27,328,410,288,247,113,199
PCA_SD_06088,448,552,604,61,110,110,963,1228,971,249,733,210
PCA_SD_04726,0,0,0,0,0,0,0,0,2,0,0,0
PCA_SD_04727,7,6,11,31,52,33,248,292,174,22,16,18
PCA_SD_04724,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_04725,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_04722,4,0,2,2,16,2,19259,26100,19270,72,20,0
PCA_SD_04723,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_04720,4,2,6,18,20,36,324,304,225,0,0,18
PCA_SD_04721,371,378,536,38,66,50,2089,2467,2092,122,43,53
PCA_SD_04728,4,2,4,8,6,4,67,99,70,2,0,0
PCA_SD_04729,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_04689,0,0,0,28,70,55,1029,1388,874,20667,10126,16427
PCA_SD_04688,0,2,4,0,0,0,22,4,18,2,14,14
PCA_SD_04681,4789,5067,7192,391,805,645,13035,15989,12884,18248,10079,14784
PCA_SD_04680,105,139,179,92,221,167,913,1116,691,106,32,145
PCA_SD_04683,1936,1965,2996,108,182,177,3582,5296,3562,1849,852,1506
PCA_SD_04682,53,44,39,6,8,9,1246,1506,1253,4,6,0
PCA_SD_04685,431,512,586,32,83,47,1743,2165,1776,1157,591,1065
PCA_SD_04684,229,248,248,0,2,0,131,134,126,18,12,2
PCA_SD_04687,383,388,435,32,32,28,573,542,530,556,494,592
PCA_SD_04686,2942,3402,4071,112,198,144,4631,5628,4823,3871,5327,2899
PCA_SD_04737,11,19,15,0,0,0,83,96,86,12,0,42
PCA_SD_04736,1313,1413,1836,57,146,93,2522,2818,2562,2046,1929,1847
PCA_SD_04744,456,549,750,59,111,131,2085,2377,1947,8675,2962,6718
PCA_SD_04740,0,0,2,0,2,0,6,4,2,10,7,13
PCA_SD_04741,0,2,0,0,0,0,2,2,2,81,49,12
PCA_SD_04742,1701,1935,2145,1827,3292,2806,37712,39960,34580,53019,20686,50426
PCA_SD_04743,38,38,51,2,4,2,145,128,105,2001,390,1115
PCA_SD_04719,141,124,129,16,28,20,68,98,64,502,94,361
PCA_SD_04718,1425,1662,1955,62,82,86,2134,2573,2312,919,1818,810
PCA_SD_04713,0,0,0,0,0,0,0,3,2,30,22,0
PCA_SD_04712,1912,2168,2445,42,63,61,1376,1641,1347,590,385,589
PCA_SD_04711,122,118,152,10,8,22,160,255,183,184,468,210
PCA_SD_04710,0,0,0,0,2,2,34,44,33,614,165,479
PCA_SD_04717,108,137,162,0,0,0,14,10,5,28,36,10
PCA_SD_04716,0,0,0,0,0,0,0,0,2,0,0,0
PCA_SD_04715,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_04714,0,0,0,0,0,0,0,0,0,0,2,0
