Geneid,GS1,GS2,GS3,HE1,HE2,HE3,IT61,IT62,IT63,IT91,IT92,IT93,UG1,UG2,UG3
evm.model.pcontig_104.5,0,0,0,0,1,0,0,1,1,6,24,9,0,0,0
evm.model.pcontig_104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_104.12,1,0,0,0,4,3,0,0,0,0,3,0,0,0,0
evm.model.pcontig_104.19,59,87,93,1,11,3,4,2,5,7,48,17,31,16,27
evm.model.pcontig_104.18,0,0,2,10,17,11,2,2,1,0,5,3,6,2,7
evm.model.pcontig_104.11,3627,4730,5081,1198,3821,1361,75,41,66,181,1583,1611,3514,4096,3252
evm.model.pcontig_104.10,4,4,3,0,7,5,5,1,2,10,333,140,1,1,2
evm.model.pcontig_104.13,0,1,1,21,49,19,8,4,4,8,49,31,0,0,0
evm.model.pcontig_104.14,0,0,0,0,0,3,1,1,0,6,3,7,0,0,0
evm.model.pcontig_104.17,247,296,304,19,65,30,26,24,29,236,522,193,95,69,76
evm.model.pcontig_106.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_106.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_106.4,50,70,46,22,56,7,1,0,0,242,146,3,256,334,244
evm.model.pcontig_106.23,248,245,251,1,10,2,18,34,10,89,306,109,105,113,108
evm.model.pcontig_106.28,934,728,966,89,297,107,47,77,61,389,974,376,582,494,487
evm.model.pcontig_106.29,156,155,188,53,104,46,7,25,16,72,260,128,95,109,94
evm.model.pcontig_106.3,8945,6465,8481,4,35,27,0,0,0,1,9,4,3802,3098,3196
evm.model.pcontig_106.22,269,218,288,33,46,30,47,92,39,246,685,255,123,130,114
evm.model.pcontig_106.21,883,970,1031,56,165,73,95,58,52,212,675,326,942,888,872
evm.model.pcontig_106.24,174,244,285,56,119,63,277,497,274,529,1676,1686,10,31,21
evm.model.pcontig_106.25,679,653,629,52,81,43,32,35,17,172,386,193,198,224,213
evm.model.pcontig_106.16,160,158,198,71,204,57,34,39,21,146,545,144,122,107,138
evm.model.pcontig_106.32,345,262,301,90,234,60,50,40,60,177,733,331,119,71,93
evm.model.pcontig_106.20,121,125,143,42,130,52,50,35,44,143,703,426,32,28,35
evm.model.pcontig_106.26,149,139,157,84,239,92,38,46,37,195,698,300,50,51,62
evm.model.pcontig_106.27,15,34,44,3,3,0,2,19,2,12,13,25,0,1,0
evm.model.pcontig_106.2,488,438,495,61,139,47,72,16,64,193,695,501,501,558,462
evm.model.pcontig_106.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_106.5,431,371,449,32,112,18,37,42,42,127,463,210,281,186,242
evm.model.pcontig_106.31,400,336,405,32,94,28,58,58,68,235,1193,482,115,100,113
evm.model.pcontig_106.30,235,175,235,12,30,14,46,48,41,163,763,396,67,60,56
evm.model.pcontig_106.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_106.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_106.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_106.10,276,183,260,25,65,21,73,102,65,258,915,431,156,151,112
evm.model.pcontig_106.17,0,0,0,18,42,11,7,2,4,5,25,45,0,0,0
evm.model.pcontig_106.15,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0
evm.model.pcontig_106.13,0,0,1,5,33,8,3,2,7,6,39,33,0,0,0
evm.model.pcontig_106.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_106.19,521,442,598,256,735,240,121,162,116,473,1447,573,201,164,215
evm.model.pcontig_106.18,0,0,0,255,604,326,10,5,22,27,89,62,0,0,1
evm.model.pcontig_110.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_110.11,474,413,490,15,77,24,36,63,26,201,587,327,183,158,167
evm.model.pcontig_110.12,759,629,881,93,304,87,132,112,97,421,1997,821,322,269,294
evm.model.pcontig_110.13,580,451,553,28,56,23,120,72,108,434,1930,849,226,188,213
evm.model.pcontig_110.14,184,154,201,33,72,34,13,22,5,79,228,101,93,67,88
evm.model.pcontig_110.15,363,453,541,84,253,87,46,70,50,312,716,285,196,124,155
evm.model.pcontig_110.16,11,16,22,7,14,1,4,22,3,20,15,33,1,0,1
evm.model.pcontig_110.31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
evm.model.pcontig_110.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_110.18,696,624,647,86,192,61,28,54,26,196,363,158,183,155,171
evm.model.pcontig_110.19,29,39,40,0,8,3,60,100,51,77,264,280,2,8,2
evm.model.pcontig_110.30,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0
evm.model.pcontig_110.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_110.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_110.21,126,161,190,0,2,0,7,10,9,59,206,65,62,56,70
evm.model.pcontig_110.23,69,64,65,15,31,13,9,20,8,56,156,53,53,41,55
evm.model.pcontig_110.22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
evm.model.pcontig_110.25,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1
evm.model.pcontig_110.24,652,768,872,39,90,35,40,34,40,148,390,166,612,613,503
evm.model.pcontig_110.2,13,15,16,0,1,1,3,0,1,5,9,3,27,14,18
evm.model.pcontig_110.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_110.20,123,226,201,84,251,78,238,405,196,397,1292,1266,14,10,15
evm.model.pcontig_110.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
evm.model.pcontig_110.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_110.1,251,270,292,26,71,36,30,6,26,76,210,88,394,176,298
evm.model.pcontig_110.29,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
evm.model.pcontig_110.28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
evm.model.pcontig_110.17,185,173,175,82,205,95,53,53,36,221,704,296,59,56,77
evm.model.pcontig_115.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
evm.model.pcontig_115.25,10,10,7,0,2,1,0,0,0,1,8,2,1,0,0
evm.model.pcontig_115.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.3,1,1,0,3,1,0,0,0,0,0,0,0,3,0,2
evm.model.pcontig_115.4,1,3,2,2,2,1,1,0,1,2,3,4,0,0,1
evm.model.pcontig_115.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.30,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1
evm.model.pcontig_115.17,0,1,2,2,3,0,1,0,1,11,10,4,0,0,0
evm.model.pcontig_115.15,483,425,462,56,182,72,37,38,24,168,605,320,146,107,132
evm.model.pcontig_115.14,426,378,494,36,80,34,107,96,85,340,1093,474,158,173,165
evm.model.pcontig_115.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
evm.model.pcontig_115.19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
evm.model.pcontig_115.29,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
evm.model.pcontig_115.26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.10,288,178,260,26,48,15,75,65,84,252,834,357,235,184,191
evm.model.pcontig_115.16,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0
evm.model.pcontig_115.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_118.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
evm.model.pcontig_118.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_118.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_118.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_073.47,243,276,276,128,276,125,49,59,49,157,554,239,207,170,194
evm.model.pcontig_073.89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
evm.model.pcontig_073.87,162,172,152,121,309,109,44,35,30,125,293,127,196,153,164
evm.model.pcontig_073.85,464,459,557,28,83,20,49,37,34,186,493,211,570,325,454
evm.model.pcontig_073.84,3,2,0,21,50,16,5,2,1,12,42,18,2,2,4
evm.model.pcontig_073.81,1,1,2,0,3,0,0,0,0,1,0,0,0,0,0
evm.model.pcontig_073.88,41,56,72,11,46,14,9,10,6,41,119,69,27,19,21
evm.model.pcontig_073.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_073.51,2312,2203,2597,83,254,53,85,140,90,346,1542,681,1145,1022,1013
evm.model.pcontig_073.31,2502,2288,2292,204,633,175,266,254,200,892,3517,1598,1470,921,1139
evm.model.pcontig_073.2,1172,973,1247,62,199,52,36,82,36,200,863,405,644,642,570
evm.model.pcontig_073.6,849,891,1079,4,27,16,14,29,10,83,280,99,397,381,408
evm.model.pcontig_073.8,1,0,2,0,0,0,0,0,0,1,12,4,0,0,0
evm.model.pcontig_073.7,685,718,803,9,39,12,8,29,6,59,215,79,275,289,281
evm.model.pcontig_073.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_073.83,1,3,3,2,1,0,0,0,0,0,2,0,0,3,0
evm.model.pcontig_073.82,0,1,0,15,45,23,4,2,8,10,47,44,1,0,0
evm.model.pcontig_073.76,0,0,0,21,58,26,0,0,0,3,9,5,0,0,0
evm.model.pcontig_073.77,338,242,361,4,10,3,13,4,23,116,388,219,249,258,232
evm.model.pcontig_073.72,230,230,261,84,176,65,29,46,31,166,561,201,187,153,159
evm.model.pcontig_073.73,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
evm.model.pcontig_073.65,812,526,759,46,113,29,23,81,28,284,488,178,556,654,476
evm.model.pcontig_073.64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
evm.model.pcontig_073.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_073.58,1,0,1,0,0,0,1,0,0,1,1,2,0,0,0
evm.model.pcontig_073.54,0,0,0,46,86,34,2,2,1,2,7,3,0,0,0
evm.model.pcontig_073.56,33,71,59,0,0,1,1,1,0,2,10,4,52,34,61
