Geneid,GS1,GS2,GS3,HE1,HE2,HE3,IT61,IT62,IT63,IT91,IT92,IT93,UG1,UG2,UG3
evm.model.hcontig_042_168.2,2,7,11,5,27,28,2,1,3,5,15,8,2,3,4
evm.model.hcontig_020_169.10,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0
evm.model.hcontig_020_169.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_020_169.4,2466,2185,2588,255,656,243,287,290,281,1026,4006,1667,1228,846,1151
evm.model.hcontig_020_169.1,2241,1930,2543,239,618,249,262,242,260,882,3547,1523,1219,762,1138
evm.model.hcontig_020_169.3,19,53,73,3,7,1,1,2,4,39,64,26,9,7,5
evm.model.hcontig_020_169.7,0,0,0,65,117,41,0,0,0,58,80,9,0,2,0
evm.model.hcontig_020_169.6,4,7,15,18,46,11,5,1,3,19,65,36,11,11,3
evm.model.hcontig_058_175.7,1,2,4,1,6,2,0,1,0,9,8,3,0,0,0
evm.model.hcontig_058_175.13,0,0,0,17,31,13,3,0,4,20,21,12,1,0,0
evm.model.hcontig_058_175.12,0,0,0,35,56,29,5,1,5,12,32,13,0,0,0
evm.model.hcontig_058_175.11,0,0,0,123,347,151,9,1,6,34,62,32,0,0,0
evm.model.hcontig_058_175.10,289,236,293,37,108,27,28,68,37,250,696,324,121,165,124
evm.model.hcontig_058_175.17,1653,1032,1601,26,194,60,77,207,60,469,1856,888,714,434,691
evm.model.hcontig_058_175.16,1047,774,994,114,407,133,34,90,45,223,1007,516,441,299,390
evm.model.hcontig_058_175.15,4,5,7,3182,3181,310,132,19570,134,10753,6355,3028,5,10,2
evm.model.hcontig_058_175.14,2028,2247,2651,323,734,360,232,193,203,692,2385,1159,823,705,840
evm.model.hcontig_058_175.19,741,419,803,11,38,15,36,90,42,249,1072,507,352,219,352
evm.model.hcontig_058_175.9,229,187,267,13,37,13,32,59,36,243,587,278,109,115,93
evm.model.hcontig_058_175.8,656,627,796,194,351,131,45,71,56,243,593,317,317,223,270
evm.model.hcontig_058_175.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
evm.model.hcontig_058_175.5,0,0,0,81,110,48,58,8,63,21,87,153,0,0,0
evm.model.hcontig_058_175.4,7,6,7,0,2,2,1,1,1,2,7,8,3,0,3
evm.model.hcontig_058_175.3,2186,2127,2409,139,273,137,137,130,98,262,842,561,544,428,551
evm.model.hcontig_058_175.2,4638,5173,5394,180,531,192,128,87,135,343,1253,645,2403,1907,2536
evm.model.hcontig_058_175.1,42,73,63,10,18,5,5,5,2,50,57,20,55,71,60
evm.model.hcontig_058_175.18,726,404,735,7,43,22,31,100,29,215,941,435,329,217,254
evm.model.hcontig_047_178.9,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0
evm.model.hcontig_047_178.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_047_178.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_047_178.4,1264,1165,1587,196,563,186,94,146,97,554,2513,1170,680,605,612
evm.model.hcontig_047_178.5,580,523,604,16,37,13,9,21,19,85,437,208,334,292,411
evm.model.hcontig_047_178.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_047_178.2,0,1,0,0,5,1,0,0,0,2,3,0,0,0,0
evm.model.hcontig_047_178.3,1,1,0,1,6,1,0,0,0,3,3,3,0,1,0
evm.model.hcontig_047_178.10,0,3,1,3,17,6,0,0,0,81,53,0,6,4,6
evm.model.hcontig_047_178.11,0,2,3,17,53,17,1,2,0,4,11,8,5,1,4
evm.model.hcontig_001_180.1,274,299,338,112,249,86,52,68,40,214,702,259,195,134,165
evm.model.hcontig_001_180.3,0,0,0,14,31,13,1,1,2,122,202,18,0,0,0
evm.model.hcontig_001_180.2,0,1,5,91,165,73,3,6,5,69,76,75,7,2,7
evm.model.hcontig_001_180.5,0,0,0,0,3,2,0,0,0,7,2,5,0,0,1
evm.model.hcontig_001_180.4,0,2,0,106,146,41,7,0,2,102,560,98,1,0,1
evm.model.hcontig_001_180.7,0,1,0,13,15,9,1,0,0,77,89,4,0,2,0
evm.model.hcontig_001_180.6,5,10,13,166,223,58,3,0,1,68,482,86,4,1,5
evm.model.hcontig_001_180.9,2054,1442,1924,327,821,300,929,1174,934,3061,12892,6075,554,552,520
evm.model.hcontig_001_180.11,0,0,1,1,5,2,0,0,4,0,22,19,0,2,0
evm.model.hcontig_001_180.10,0,0,0,5,14,8,1,0,1,0,4,8,0,0,0
evm.model.hcontig_001_180.8,850,645,922,79,196,82,115,113,101,473,1821,903,210,181,190
evm.model.hcontig_016_124.24,0,2,1,3,2,2,3,0,3,14,1898,397,0,0,1
evm.model.hcontig_016_124.25,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0
evm.model.hcontig_016_124.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_016_124.20,272,263,340,1,2,0,13,7,8,55,138,60,82,69,83
evm.model.hcontig_016_124.21,59,69,81,0,2,1,1,2,0,1,2,2,13,12,19
evm.model.hcontig_016_124.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_016_124.23,548,480,614,18,81,22,66,79,66,361,1065,365,206,176,233
evm.model.hcontig_016_124.19,951,707,838,163,477,147,110,369,118,926,2621,1046,306,257,261
evm.model.hcontig_016_124.18,4,2,3,0,0,0,0,0,0,0,1,0,1,0,1
evm.model.hcontig_016_124.4,1777,1527,1625,196,576,228,85,196,79,771,1860,813,1216,675,950
evm.model.hcontig_016_124.7,0,0,0,28,49,26,1,2,0,4,30,23,0,0,0
evm.model.hcontig_016_124.6,0,0,0,2,9,10,6,1,4,7,49,32,0,0,0
evm.model.hcontig_016_124.5,108,121,98,108,254,112,5,10,2,32,109,39,37,24,34
evm.model.hcontig_016_124.3,51,65,71,59,177,62,27,57,25,142,431,151,44,44,41
evm.model.hcontig_016_124.2,142,130,155,5,17,11,16,18,16,83,267,89,85,95,69
evm.model.hcontig_016_124.10,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
evm.model.hcontig_016_124.13,4036,3260,4125,85,211,125,89,146,64,542,1106,447,2782,2772,2470
evm.model.hcontig_016_124.12,1604,1491,1511,194,422,189,63,134,69,537,1106,366,1065,978,983
evm.model.hcontig_016_124.11,0,0,2,0,1,0,1,0,0,4,9,1,0,0,0
evm.model.hcontig_016_124.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_016_124.14,2,1,2,107,159,52,0,0,0,3355,3040,0,28,21,26
evm.model.hcontig_016_124.17,1,0,2,15,55,31,2,1,3,3,20,13,1,0,2
evm.model.hcontig_016_124.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_048_125.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_048_125.3,1817,1593,1949,65,255,91,132,182,137,580,1771,707,1189,737,1068
evm.model.hcontig_048_125.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_048_125.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
evm.model.hcontig_048_125.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_048_125.18,2168,1929,2399,328,635,256,192,193,179,674,2240,976,1138,739,1029
evm.model.hcontig_048_125.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_048_125.10,2026,1916,2248,235,610,222,266,336,231,940,3825,1973,540,367,526
evm.model.hcontig_048_125.17,607,540,579,19,22,9,26,61,28,235,732,294,255,181,275
evm.model.hcontig_048_125.16,547,542,688,152,264,128,92,119,82,393,951,302,190,176,277
evm.model.hcontig_048_125.15,1338,1290,1538,307,840,286,163,354,163,1049,2721,1073,553,469,542
evm.model.hcontig_048_125.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_048_125.19,165,181,175,115,231,101,22,17,12,84,276,89,139,165,133
evm.model.hcontig_048_125.20,78,64,52,13,27,10,8,7,4,26,71,34,53,33,29
evm.model.hcontig_048_125.4,1999,1881,2172,254,605,231,140,129,137,579,1964,1031,746,573,657
evm.model.hcontig_008_126.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_008_126.8,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
evm.model.hcontig_008_126.18,377,479,437,106,206,98,106,148,88,426,1172,456,325,322,338
evm.model.hcontig_008_126.19,4436,3933,4848,376,1345,423,299,423,277,2041,7762,3139,1382,1015,1370
evm.model.hcontig_008_126.16,0,1,2,40,60,39,7,10,9,12,26,22,1,0,1
evm.model.hcontig_008_126.17,1551,1698,1970,128,303,158,36,31,26,63,167,114,500,440,605
evm.model.hcontig_008_126.12,0,0,0,0,6,3,0,1,0,3,9,0,0,0,0
evm.model.hcontig_008_126.13,0,0,1,0,2,3,0,1,0,0,1,1,0,0,0
evm.model.hcontig_008_126.10,12,29,25,42,103,43,4,4,2,30,36,14,29,21,36
evm.model.hcontig_008_126.11,0,0,0,0,6,1,0,0,0,1,2,2,0,0,0
evm.model.hcontig_008_126.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_008_126.20,0,0,0,0,0,0,1,0,1,2,17,5,0,0,1
evm.model.hcontig_008_126.4,190,220,212,13,26,13,14,18,6,65,149,69,74,41,52
evm.model.hcontig_008_126.5,234,190,245,2,5,2,9,8,7,65,162,76,48,40,72
evm.model.hcontig_008_126.6,10,20,26,19,42,23,95,87,104,241,731,520,11,5,6
evm.model.hcontig_008_126.7,1474,1750,1846,229,628,172,220,219,217,822,3890,1830,369,321,422
evm.model.hcontig_008_126.9,133,108,112,452,1050,433,1710,1386,1553,3444,14361,7882,99,56,55
evm.model.hcontig_008_126.23,1048,821,995,22,55,20,90,107,82,472,2022,1080,398,341,358
evm.model.hcontig_008_126.22,631,432,609,7,23,6,61,83,48,312,1278,658,234,233,169
evm.model.hcontig_008_126.21,24,36,33,0,0,0,2,9,3,59,62,15,28,8,21
evm.model.hcontig_008_126.24,282,226,292,12,27,20,21,26,21,106,480,242,102,104,101
evm.model.hcontig_041_127.8,2,0,1,52,76,48,5,1,3,9,30,36,0,1,4
evm.model.hcontig_041_127.4,0,0,0,0,0,0,3,0,0,0,4,4,2,2,0
evm.model.hcontig_041_127.5,0,1,0,0,0,0,0,1,0,3,20,5,1,0,0
evm.model.hcontig_041_127.6,86,57,61,0,2,3,3,0,1,4,26,5,22,21,16
evm.model.hcontig_041_127.1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
evm.model.hcontig_041_127.2,0,0,0,8,13,2,0,0,0,1,2,0,0,0,0
evm.model.hcontig_041_127.3,7,10,13,772,2240,1057,5,30,1,1115,2746,190,3,3,6
evm.model.hcontig_041_127.13,2095,1785,2095,407,863,404,900,722,831,1653,7471,4282,758,811,786
evm.model.hcontig_041_127.10,1,0,0,5,15,13,10,10,12,44,123,36,2,3,4
evm.model.hcontig_041_127.11,12,16,27,8,23,49,8,0,11,0,2735,1137,1,2,1
evm.model.hcontig_041_127.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_041_127.16,1186,1600,1834,138,550,168,107,85,106,370,1318,570,1484,856,1179
evm.model.hcontig_041_127.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_041_127.14,1658,1230,1699,300,620,290,226,207,197,797,2641,1404,412,358,426
evm.model.hcontig_041_127.15,3168,2498,3573,220,682,206,363,330,353,1323,4923,2021,1871,1388,1560
evm.model.hcontig_041_127.12,4,1,1,60,149,217,432,840,354,1168,10728,4549,12,12,17
