"GS1"	"GS2"	"GS3"	"HE1"	"HE2"	"HE3"	"IT61"	"IT62"	"IT63"	"IT91"	"IT92"	"IT93"	"UG1"	"UG2"	"UG3"
"evm.model.hcontig_017_160.10"	0.0148220277741915	0.103162052582106	-1.99068565256915	5.87918566583895	5.98980269234023	6.2029834059811	5.73468372989238	4.66880074795167	4.69782256596877	3.72970125194608	3.58465825908989	4.40762873352657	0.205004143914007	0.450789379541987	1.48473831445294
"evm.model.hcontig_017_160.12"	8.96567564075496	9.15912084799951	8.98305923716541	11.1863906154587	11.319500664448	10.9040666599392	9.33201800173539	9.4238627907526	9.43696357254905	8.8127624038268	9.09525434484347	9.03659081655191	10.1938821839532	10.7091141504615	10.092306601554
"evm.model.hcontig_017_160.15"	4.73560265880697	4.45852028674843	5.01369914604086	3.97052697377688	4.87708588347893	4.68486158821893	4.68842230747093	4.07706831628651	3.19525734186647	4.07309320399409	4.79201279103333	4.90524577250536	3.8433934413111	4.38612890448021	4.20292308804127
"evm.model.hcontig_017_160.9"	8.69162725432126	8.68328669077916	8.68152582242411	8.83928417410845	9.05959632621991	8.57278035924158	7.48176541415484	7.91689345881398	7.56423994307243	7.7590944372806	7.68088822975937	7.50152228986653	9.24808488065174	9.63361338928961	9.11829263992514
"evm.model.hcontig_017_160.7"	-2.26007825235792	-0.771447592007904	-0.935817720466158	4.33385484122258	4.0527043227962	3.83525980855312	1.59069914226625	-0.409946524229324	1.67598881104889	0.561317236540239	1.51671794387964	1.73393900029213	-1.61526309498826	-1.42269333202714	-1.55180890175882
"evm.model.hcontig_017_160.2"	9.36901542667679	9.44521646963927	9.34810297324154	10.2115925522475	10.3987939801084	10.1395965292037	9.64522116322228	8.94122055383902	9.92695775284131	9.10764355603632	9.81032176050499	10.4912191974252	8.53037967418403	8.39682352718566	8.76261223121198
"evm.model.hcontig_017_160.3"	7.86990342035284	8.14095485848841	7.75215132901757	8.02800071713486	7.87663791571885	8.2335159044198	7.49753166456764	7.59654893743733	7.28138038423093	7.56473387803655	6.9355192539751	7.09329601275086	8.27080558583634	8.03423397736609	8.23992605707913
"evm.model.hcontig_017_160.4"	7.90682384767299	7.72968733308915	7.7978216174235	6.42110974450015	5.69144378664537	6.0704754119019	8.36445889830407	8.5814494345296	8.58426261612127	8.21433143518143	7.93875811104357	8.12221075367057	7.27669846300433	7.26365193008362	7.5816754973651
"evm.model.hcontig_017_160.5"	9.51257449391422	9.47057471338035	9.63544509378423	8.55491181869742	8.59070239084442	8.56344168467259	8.34502666596623	8.82390270500767	8.55335451316816	8.54340989040195	8.55073122285106	8.81140436582029	9.53234505477534	9.66378318610771	9.46792628271289
"evm.model.hcontig_017_160.8"	8.97812285585118	8.81136834784859	9.11983222700658	6.66911012980933	6.77391808146844	6.33914665128823	7.86873880368944	8.06730019163142	8.04834512048681	8.12222777444048	8.29674057762353	8.30482849986084	9.39424690265525	9.71631004485581	9.3643755239203
