Geneid,GS1,GS2,GS3,HE1,HE2,HE3,IT61,IT62,IT63,IT91,IT92,IT93,UG1,UG2,UG3
evm.model.pcontig_104.42,3029,2757,2979,3,22,25,0,1,0,2,11,6,1873,1696,1742
evm.model.pcontig_104.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_104.5,3,1,4,0,2,0,0,1,1,8,34,11,3,1,2
evm.model.pcontig_104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_104.12,1,0,0,0,4,3,0,0,0,0,3,0,0,0,0
evm.model.pcontig_104.19,64,93,96,1,13,4,4,3,6,10,51,18,32,18,29
evm.model.pcontig_104.18,4,3,5,33,57,32,3,3,1,2,23,8,14,7,17
evm.model.pcontig_104.11,3627,4729,5080,1198,3821,1361,75,41,66,181,1583,1611,3515,4096,3252
evm.model.pcontig_104.10,4,4,3,0,7,5,5,1,2,10,333,140,1,1,2
evm.model.pcontig_104.13,0,1,1,21,49,19,8,4,4,8,49,31,0,0,0
evm.model.pcontig_104.14,0,0,0,0,0,3,1,1,0,6,3,7,0,0,0
evm.model.pcontig_104.17,247,296,304,19,65,30,26,24,29,236,522,193,95,69,76
evm.model.pcontig_106.6,382,281,329,4,14,3,18,22,6,75,170,103,221,217,205
evm.model.pcontig_106.9,17,7,10,0,0,1,0,0,1,0,1,0,4,0,2
evm.model.pcontig_106.4,281,276,230,54,144,31,2,5,0,2289,1320,12,1858,2525,1830
evm.model.pcontig_106.23,248,245,251,1,10,2,18,34,10,89,306,109,105,113,108
evm.model.pcontig_106.28,934,728,966,89,297,107,47,77,61,389,974,376,582,494,487
evm.model.pcontig_106.29,155,155,188,53,102,46,7,25,16,72,259,128,95,108,94
evm.model.pcontig_106.3,8945,6465,8481,4,35,27,0,0,0,1,9,4,3802,3098,3196
evm.model.pcontig_106.22,270,221,288,33,46,29,47,92,39,248,686,255,123,130,114
evm.model.pcontig_106.21,884,970,1032,56,164,73,95,58,52,212,675,326,942,889,873
evm.model.pcontig_106.24,174,244,285,56,119,63,277,497,274,529,1676,1686,10,31,21
evm.model.pcontig_106.25,679,653,629,52,81,43,32,35,17,172,386,193,198,224,213
evm.model.pcontig_106.16,818,725,857,171,489,118,130,155,127,598,2388,653,547,470,532
evm.model.pcontig_106.32,345,262,301,90,234,60,50,40,60,177,733,332,119,71,93
evm.model.pcontig_106.20,593,502,608,56,195,75,245,120,216,717,3665,2102,118,122,136
evm.model.pcontig_106.26,149,139,158,84,239,93,38,46,37,195,698,300,50,51,62
evm.model.pcontig_106.27,15,34,44,3,3,0,2,19,2,12,13,25,0,1,0
evm.model.pcontig_106.2,488,438,495,61,139,47,72,16,64,193,695,501,501,558,462
evm.model.pcontig_106.7,670,504,694,7,49,13,23,32,20,91,311,147,351,327,325
evm.model.pcontig_106.5,2737,2263,2668,111,371,115,225,261,225,733,2814,1241,1596,1027,1372
evm.model.pcontig_106.31,400,336,403,32,94,28,58,58,68,235,1193,482,115,100,112
evm.model.pcontig_106.30,235,175,235,12,30,14,46,48,41,163,763,396,67,60,56
evm.model.pcontig_106.33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
evm.model.pcontig_106.8,95,107,101,7,20,10,2,2,2,6,12,7,33,23,37
evm.model.pcontig_106.14,0,0,0,192,517,163,19,6,25,37,82,91,0,0,0
evm.model.pcontig_106.10,3380,2530,3211,980,2282,841,757,987,742,2882,10622,4506,1738,1731,1606
evm.model.pcontig_106.17,0,0,0,22,53,15,12,2,5,5,28,51,0,0,0
evm.model.pcontig_106.15,697,853,942,691,1679,554,622,920,594,1968,5849,2353,810,834,737
evm.model.pcontig_106.13,0,0,0,54,207,84,39,13,32,78,281,299,0,0,0
evm.model.pcontig_106.11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
evm.model.pcontig_106.19,717,636,835,456,1195,446,151,199,144,637,1808,715,276,231,292
evm.model.pcontig_106.18,0,0,0,255,604,326,10,5,22,27,89,62,0,0,1
evm.model.pcontig_110.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
evm.model.pcontig_110.11,2108,2086,2387,163,487,165,182,253,128,989,3020,1506,791,648,739
evm.model.pcontig_110.12,759,629,881,93,304,87,132,112,97,421,1997,821,322,269,294
evm.model.pcontig_110.13,580,451,553,28,56,23,120,72,108,434,1930,849,226,188,213
evm.model.pcontig_110.14,184,154,201,33,72,34,13,22,5,79,228,101,93,67,88
evm.model.pcontig_110.15,362,453,541,84,253,87,46,70,50,312,716,285,196,124,155
evm.model.pcontig_110.16,11,16,22,7,14,1,4,22,3,20,16,33,1,0,1
evm.model.pcontig_110.31,0,1,0,9,12,5,2,0,1,1,2,3,0,0,0
evm.model.pcontig_110.32,0,0,0,4,34,14,2,1,7,6,14,9,0,0,0
evm.model.pcontig_110.18,696,624,647,86,192,61,28,54,26,196,363,158,183,155,171
evm.model.pcontig_110.19,29,39,40,0,8,3,60,100,51,77,264,280,2,8,2
evm.model.pcontig_110.30,595,493,646,117,388,131,83,140,90,464,1196,506,227,203,253
evm.model.pcontig_110.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_110.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_110.21,188,240,266,1,4,1,9,16,9,73,271,88,82,76,90
evm.model.pcontig_110.23,151,149,173,21,45,15,27,42,18,132,410,129,125,90,111
evm.model.pcontig_110.22,26,23,35,0,1,1,3,7,0,50,68,30,25,25,17
evm.model.pcontig_110.25,118,111,136,56,124,54,33,20,43,84,473,238,25,26,27
evm.model.pcontig_110.24,1041,1208,1353,60,134,57,54,45,55,208,630,256,908,932,780
evm.model.pcontig_110.2,168,166,221,1,13,6,18,11,16,50,107,50,236,114,176
evm.model.pcontig_110.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_110.20,123,226,201,84,251,78,238,405,196,397,1292,1266,14,10,15
evm.model.pcontig_110.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
evm.model.pcontig_110.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_110.1,557,696,657,66,171,104,56,26,43,163,539,209,945,363,661
evm.model.pcontig_110.29,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
evm.model.pcontig_110.28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
evm.model.pcontig_110.17,185,173,175,82,206,95,53,53,36,221,704,296,59,56,77
evm.model.pcontig_115.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.28,7,4,10,1,0,0,0,1,1,2,3,0,1,3,0
evm.model.pcontig_115.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.27,8,1,6,1,3,5,1,5,5,19,51,22,5,2,1
evm.model.pcontig_115.25,10,11,7,0,2,1,0,0,0,1,8,2,1,0,0
evm.model.pcontig_115.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.3,1,2,0,3,1,0,0,0,0,0,0,0,3,0,2
evm.model.pcontig_115.4,1,3,2,2,2,1,1,0,1,2,3,4,0,0,1
evm.model.pcontig_115.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.30,77,58,60,65,160,57,25,31,24,79,283,121,57,69,45
evm.model.pcontig_115.17,0,1,2,2,3,0,1,0,1,11,10,4,0,0,0
evm.model.pcontig_115.15,483,425,462,56,182,72,37,38,24,168,605,320,146,107,132
evm.model.pcontig_115.14,426,378,494,37,80,34,107,97,85,340,1092,474,159,173,165
evm.model.pcontig_115.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
evm.model.pcontig_115.19,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0
evm.model.pcontig_115.29,81,85,86,27,62,31,35,48,28,127,345,167,94,80,68
evm.model.pcontig_115.26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.10,288,178,260,26,48,15,75,65,84,252,835,357,235,184,191
evm.model.pcontig_115.16,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0
evm.model.pcontig_115.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.7,1,0,2,0,0,0,0,0,0,0,2,1,0,1,0
evm.model.pcontig_115.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_115.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_118.3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
evm.model.pcontig_118.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_118.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_118.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_073.47,243,276,276,128,276,125,49,59,49,157,554,239,207,170,194
evm.model.pcontig_073.89,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0
evm.model.pcontig_073.87,1954,1966,1996,679,1630,538,400,412,359,1232,3606,1624,2405,1656,1822
evm.model.pcontig_073.85,1427,1479,1680,164,329,109,128,138,123,511,1475,630,1798,981,1436
evm.model.pcontig_073.84,1567,1385,1547,5017,11139,4911,467,561,443,1527,4387,1788,2018,2239,1863
evm.model.pcontig_073.81,1,2,3,0,3,0,2,0,0,1,0,1,0,0,0
evm.model.pcontig_073.88,786,763,935,135,363,138,93,147,114,696,1817,979,446,309,413
evm.model.pcontig_073.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_073.51,2312,2203,2597,83,254,53,85,140,90,346,1542,679,1145,1022,1013
evm.model.pcontig_073.31,2502,2288,2292,204,633,175,266,254,200,892,3518,1597,1470,921,1139
evm.model.pcontig_073.2,1317,1087,1408,64,207,54,36,89,39,221,933,442,728,715,639
evm.model.pcontig_073.6,849,892,1079,4,27,16,14,29,10,83,280,99,397,381,408
evm.model.pcontig_073.8,1,1,2,0,0,0,0,0,0,1,13,7,0,0,0
evm.model.pcontig_073.7,682,714,801,9,39,12,8,29,6,59,215,79,274,287,281
evm.model.pcontig_073.22,2,1,3,1,1,2,1,0,0,1,2,2,4,2,5
evm.model.pcontig_073.83,1471,1473,1497,550,1633,528,234,444,227,1008,3310,1525,859,945,831
evm.model.pcontig_073.82,0,1,0,17,51,25,5,3,12,10,74,59,1,0,0
evm.model.pcontig_073.76,0,0,0,21,58,26,0,0,0,3,9,5,0,0,0
evm.model.pcontig_073.77,338,242,361,4,10,3,13,4,23,116,388,219,249,258,232
evm.model.pcontig_073.72,230,230,261,84,176,65,29,46,31,166,561,201,187,153,159
evm.model.pcontig_073.73,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
evm.model.pcontig_073.65,812,526,759,46,113,29,23,81,28,284,488,178,556,654,476
evm.model.pcontig_073.64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
