"Spores" "UngerminatedSpores" "Haustoria" "X6dpi" "X9dpi" ""
"evm.model.hcontig_081_005.25" 3.539749620316 4.387584817516 -2.718349340114 -3.608974159304 -1.600010938414 1
"evm.model.hcontig_081_005.35" 1.9162209597 0.6901902852 -0.986103458599999 -0.691708611799999 -0.928599174499999 1
"evm.model.hcontig_083_002.51" 2.4848057389876 3.7780952659376 -1.3376542277924 -2.8761175265204 -2.0491292506124 1
"evm.model.hcontig_083_002.52" 2.40257712470968 3.60967660471968 -1.36011407554632 -1.31379885257272 -3.33834080131032 1
"evm.model.hcontig_088_002.38" 2.78599946098 3.27279141938 0.648482884109999 -3.20130667063 -3.50596709384 1
"evm.model.hcontig_059_008.59" 0.967294734018 2.075867465838 0.372432718798 -2.828871312952 -0.586723605702 1
"evm.model.hcontig_060_001.67" 3.2824094204572 2.5857139006372 -2.5864439278418 -1.8795679577698 -1.4021114354828 1
"evm.model.hcontig_060_001.52" 3.7689434290138 3.0507697188738 -1.5326295063262 -3.6591737228852 -1.6279099186762 1
"evm.model.hcontig_064_007.50" 0.999600947104 2.470154250214 -0.679840853536 -2.628869879906 -0.161044463876 1
"evm.model.hcontig_064_007.1" 1.121597127996 0.971075565496 -0.682898566394001 -2.677905471684 1.268131344586 1
"evm.model.hcontig_065_003.39" 0.6482584349106 1.2986743971076 -0.5726126119864 -0.1664522305194 -1.2078679895124 1
"evm.model.hcontig_065_003.10" 0.900796656862 1.807869501272 -1.131276067888 -1.562309775898 -0.0150803143479994 1
"evm.model.hcontig_066_005.3" 2.4840602037682 1.9907959102882 1.3193727437482 -3.8369534965328 -1.9572753612718 1
"evm.model.hcontig_067_004.19" 1.876718802446 1.517585454646 -1.299742693344 -0.972178021744 -1.122383542004 1
"evm.model.hcontig_067_005.8" 2.364948886234 3.019509402974 -1.013247218076 -1.773658817726 -2.597552253406 1
"evm.model.hcontig_069_005.9" 1.64872288336 2.82513382201 -1.87487700117 -1.73091524275 -0.86806446145 1
"evm.model.hcontig_069_005.15" 0.211269377548 3.056995973828 0.455950318048 -2.791604144892 -0.932611524532001 1
"evm.model.hcontig_049_002.1" 1.369243964829 2.181983137679 -1.574755070081 -2.706247215116 0.729775182689 1
"evm.model.hcontig_049_002.38" 1.312416715578 1.190743911548 0.181567896378001 -1.437755174402 -1.246973349102 1
"evm.model.hcontig_050_003.45" 1.521587540246 2.174469993566 -1.143418290153 -1.807752141315 -0.744887102344 1
"evm.model.hcontig_052_006.110" -0.0293567530760015 1.559668423324 0.648014496723999 -0.900891574136001 -1.277434592836 1
"evm.model.hcontig_052_006.54" 0.5128573610562 2.0121363868362 -1.1133443102898 -1.5451377998988 0.1334883622962 1
"evm.model.hcontig_052_006.86" 0.870928838108 1.123520138408 2.865817160508 -3.343687431832 -1.516578705192 1
