"Spores" "UngerminatedSpores" "Haustoria" "X6dpi" "X9dpi" ""
"evm.model.pcontig_035.100" 3.02341034985 2.92662667085 -0.919672276850001 -3.0383160614 -1.99204868245 1
"evm.model.pcontig_035.174" 3.689761211138 3.414139403238 -1.916007285812 -5.399679610512 0.211786281948001 1
"evm.model.pcontig_036.32" 4.2265479650142 2.8092481059842 -0.6461604046058 -2.9694753490558 -3.4201603173368 1
"evm.model.pcontig_036.46" 2.887025638724 2.309979898824 -1.809263935406 -1.421962902486 -1.965778699656 1
"evm.model.pcontig_037.206" 3.5044985765468 2.5492110521468 -0.4573185865632 -3.3498702024372 -2.2465208396932 1
"evm.model.pcontig_040.49" 3.311693538166 1.764570876556 -1.277368392684 -4.753574629764 0.954678607726 1
"evm.model.pcontig_028.216" 3.858256442648 3.839631085348 -0.610028622532 -2.769413912452 -4.318444993012 1
"evm.model.pcontig_028.215" 2.7314953775182 2.2010949628182 -1.0186463178608 -1.0025211027338 -2.9114229197418 1
"evm.model.pcontig_029.124" 2.618485645446 3.021062959646 -1.779480238874 -3.160400070134 -0.699668296083999 1
"evm.model.pcontig_030.175" 3.866973707664 4.698762455964 -2.150347892916 -3.541436234456 -2.873952036256 1
"evm.model.pcontig_030.252" 2.84236288328 1.95888110548 -1.74721147012 -1.51944987422 -1.53458264442 1
"evm.model.pcontig_030.66" 4.0650466625552 3.1330068910452 -1.4181943615148 -2.6222396583658 -3.1576195337198 1
"evm.model.pcontig_031.170" 1.935137727872 2.850278081372 -0.699327810978 -2.879940730128 -1.206147268138 1
"evm.model.pcontig_031.83" 3.2396859565636 3.2044690517836 -1.9761863306164 -3.7825932137444 -0.6853754639864 1
"evm.model.pcontig_031.82" 2.3413907837524 2.8820959079824 -1.5980128066176 -1.9544196196396 -1.6710542654776 1
"evm.model.pcontig_021.63" 2.76066882093682 2.24601444256682 -1.20407279798118 -1.14568329474928 -2.65692717077318 1
"evm.model.pcontig_021.288" 3.562217038884 2.813375012224 -0.815982924676 -3.362190320236 -2.197418806196 1
"evm.model.pcontig_021.108" 1.5510866222698 3.1275311887798 -0.6396731611202 -2.3640751436392 -1.6748695062902 1
"evm.model.pcontig_021.307" 2.5632887023 1.9588987584 -1.7011656743 -1.4447039229 -1.3763178635 1
"evm.model.pcontig_022.55" 3.410854462412 2.778003088512 0.00888017439199906 -3.599839471078 -2.597898254238 1
"evm.model.pcontig_022.235" 3.359019101044 2.686293890044 -1.437240131256 -3.072920180376 -1.535152679456 1
"evm.model.pcontig_022.137" 4.39728991147 3.84220017407 -3.00789751118 -2.0698749589 -3.16171761546 1
"evm.model.pcontig_023.117" 3.378347763646 2.685208704346 -0.672683826024 -3.482906821624 -1.907965820344 1
"evm.model.pcontig_025.43" 2.993542752429 2.867291547189 -1.680804024384 -1.096935017473 -3.083095257761 1
"evm.model.pcontig_025.58" 3.91577103235447 2.36351479603447 -1.42641786770353 -1.60157171397989 -3.25129624670553 1
"evm.model.pcontig_026.143" 3.094930245152 2.483457155752 -1.757547137608 -1.509014888328 -2.311825374968 1
"evm.model.pcontig_026.128" 2.25096021664 2.67071599094 -2.05966152306 -1.87226233436 -0.98975235016 1
"evm.model.pcontig_026.76" 2.624267718526 2.158145678826 -1.336235204184 -2.290182259964 -1.155995933204 1
"evm.model.pcontig_026.73" 3.16021183428 2.54003684148 -1.13759131562 -2.19221826792 -2.37043909222 1
"evm.model.pcontig_027.212" 2.997312774838 1.955655087138 -0.706429754492 -2.993184536702 -1.253353570782 1
"evm.model.pcontig_027.202" 3.482978184894 3.070264718204 -0.902033722426 -3.010383995116 -2.640825185556 1
"evm.model.pcontig_018.292" 2.8655228475112 3.2569476965012 -1.3410832151088 -2.6967914808038 -2.0845958480998 1
"evm.model.pcontig_018.283" 1.102165989222 2.898538654022 1.083210181592 -2.154973678688 -2.928941146148 1
"evm.model.pcontig_018.281" 1.4406478419124 3.0203797655524 -1.2174596732676 -2.7391203976196 -0.5044475365776 1
"evm.model.pcontig_019.57" 3.7980300924304 3.8239611402504 -0.7101136180696 -2.9007894536946 -4.0110881609166 1
"evm.model.pcontig_019.47" 4.510039650364 3.456782460464 -1.136864918566 -3.397460885386 -3.432496306876 1
"evm.model.pcontig_020.46" 3.6845380813962 4.5510472421962 -1.3841709642238 -2.3434110598348 -4.5080032995338 1
"evm.model.pcontig_012.197" 4.51605020887 3.39822285277 0.57784225947 -4.72879975483 -3.76331556628 1
"evm.model.pcontig_012.169" 4.426439717056 3.019181558356 -1.607092403704 -5.474214250664 -0.364314621044 1
"evm.model.pcontig_012.266" 2.570832590412 1.716745870942 -0.824686410448 -0.659729193228 -2.803162857678 1
"evm.model.pcontig_014.297" 5.3027589762425 1.7095632937825 -0.4826863064775 -3.0848490540475 -3.4447869095 1
"evm.model.pcontig_016.27" 3.946440503856 3.369418024156 -3.486432494554 -2.654701718464 -1.174724314994 1
"evm.model.pcontig_016.165" 2.07908907685502 2.20816526968502 -1.40652942738098 -1.08724166206798 -1.79348325709108 1
"evm.model.pcontig_016.62" 3.451211987696 2.089502809636 0.105962481276 -3.265560676104 -2.381116602504 1
"evm.model.pcontig_016.237" 3.6119750753738 0.9964146314838 -0.8357345114762 -1.9757109579062 -1.7969442374752 1
"evm.model.pcontig_017.322" 4.1580328528394 3.6057082805394 -0.8045934881006 -3.0038392454006 -3.9553083998776 1
"evm.model.pcontig_017.125" 3.03247846181 2.99688136481 -0.309979579789999 -3.47146487094 -2.24791537589 1
"evm.model.pcontig_017.159" 4.2034118438066 3.1647101821566 -0.7308754133434 -2.8469235005234 -3.7903231120964 1
"evm.model.pcontig_017.150" 3.10022853496526 4.59755193182526 -2.06399032730424 -1.95871092433154 -3.67507921515474 1
"evm.model.pcontig_007.360" 2.2558013657984 1.9718269990384 0.8172079168184 -2.3564165441716 -2.6884197374836 1
"evm.model.pcontig_007.223" 2.8607578129895 2.7293447621095 -1.2160556773585 -1.19419996512 -3.1798469326205 1
"evm.model.pcontig_007.289" 3.39517044047 2.58985977028 -0.15508857084 -3.39549734061 -2.4344442993 1
"evm.model.pcontig_007.281" 4.643639595742 3.887273045142 -1.750755044228 -3.368700064488 -3.411457532168 1
"evm.model.pcontig_008.174" 2.706426712116 2.789196250216 -2.215487761144 -1.739221673934 -1.540913527254 1
